iter	RMSE
0	0.9040526975
1	0.8556388804
2	0.8305786187
3	0.8111800716
4	0.8024780105
5	0.7956664695
6	0.7908530672
7	0.7863598213
8	0.7831566683
9	0.7805658027
10	0.7788907229
11	0.7765215915
12	0.7741327836
13	0.7729784043
14	0.7718114211
15	0.7703165758
16	0.7692335236
17	0.768510555
18	0.767214626
19	0.7663878846
20	0.7656852336
21	0.7647721717
22	0.7634011435
23	0.7622511798
24	0.7605136157
25	0.7589725009
26	0.7574814272
27	0.7568652851
28	0.7556665928
29	0.754786484
30	0.7524546646
31	0.7513533363
32	0.7505080757
33	0.7498188658
34	0.7489265027
35	0.7475081547
36	0.7456151339
37	0.7443191393
38	0.743373901
39	0.7420102691
40	0.7410464202
41	0.7401744464
42	0.7393416176
43	0.7391491436
44	0.7380601826
45	0.7371994599
46	0.7355960625
47	0.7354335964
48	0.7341081351
49	0.7330311811
50	0.7325597358
51	0.7315315472
52	0.7310131728
53	0.7303277115
54	0.7297911869
55	0.7293000665
56	0.7286795459
57	0.7280107043
58	0.7273739757
59	0.72634267
60	0.725198821
61	0.7243291461
62	0.723443425
63	0.7230430348
64	0.7219167125
65	0.7212191515
66	0.7205426922
67	0.7199523269
68	0.7193379389
69	0.7183324482
70	0.7181870494
71	0.7176071887
72	0.7161912615
73	0.7151824976
74	0.7144881981
75	0.7137819278
76	0.7136326752
77	0.7135805914
78	0.7131423607
79	0.7126608726
80	0.7121657657
81	0.7113190712
82	0.710825181
83	0.7104194334
84	0.7097429174
85	0.7092905157
86	0.7088809654
87	0.7082739942
88	0.7075329664
89	0.7068576134
90	0.7065370717
91	0.7059453666
92	0.7053507812
93	0.7046977829
94	0.7041294307
95	0.7035020872
96	0.7034091211
97	0.7031706928
98	0.7026041916
99	0.7016808161
