iter	Passed	Remaining
0	4	402
1	7	376
2	11	362
3	14	355
4	18	359
5	22	355
6	26	348
7	29	341
8	33	338
9	37	334
10	40	328
11	44	322
12	47	320
13	51	318
14	55	313
15	58	307
16	61	302
17	65	299
18	69	294
19	72	291
20	76	287
21	80	284
22	83	279
23	86	275
24	90	270
25	93	266
26	97	263
27	100	259
28	104	255
29	107	250
30	110	246
31	115	244
32	118	241
33	122	237
34	125	233
35	128	229
36	132	224
37	135	220
38	139	218
39	143	214
40	147	211
41	150	208
42	154	204
43	158	201
44	162	198
45	166	195
46	170	192
47	174	189
48	178	185
49	181	181
50	185	177
51	188	174
52	192	170
53	196	167
54	200	164
55	203	160
56	207	156
57	210	152
58	214	148
59	217	144
60	221	141
61	224	137
62	228	133
63	231	130
64	234	126
65	238	122
66	241	119
67	244	115
68	248	111
69	251	107
70	255	104
71	259	100
72	263	97
73	266	93
74	270	90
75	273	86
76	277	82
77	280	79
78	284	75
79	287	71
80	291	68
81	294	64
82	297	61
83	301	57
84	305	53
85	308	50
86	312	46
87	315	43
88	319	39
89	322	35
90	326	32
91	329	28
92	333	25
93	336	21
94	339	17
95	342	14
96	347	10
97	351	7
98	355	3
99	359	0
