iter	RMSE
0	6.130919775
1	4.387487154
2	3.176341386
3	2.323438654
4	1.764242271
5	1.396380703
6	1.170090316
7	1.037947934
8	0.9479445924
9	0.8877204068
10	0.839829153
11	0.8099801171
12	0.7823521415
13	0.758784505
14	0.7393891025
15	0.7207194103
16	0.7105357791
17	0.7000144289
18	0.6891021305
19	0.6697620042
20	0.6607748681
21	0.6490060544
22	0.6398312522
23	0.6314194641
24	0.6201352852
25	0.6118946029
26	0.6005640969
27	0.5937391342
28	0.5792711218
29	0.5725096536
30	0.5618433963
31	0.5533058307
32	0.5388607862
33	0.5333776848
34	0.5285262964
35	0.5202451238
36	0.5131196626
37	0.4982446898
38	0.4931133793
39	0.4869145356
40	0.4780051774
41	0.4752639467
42	0.4730310905
43	0.469821333
44	0.4645332999
45	0.4583213038
46	0.4550648644
47	0.4510398391
48	0.4462765486
49	0.4421032451
50	0.4347927776
51	0.4307255204
52	0.4215679359
53	0.4201506393
54	0.4180567082
55	0.4120138888
56	0.407033552
57	0.4043992225
58	0.4013539244
59	0.3972519308
60	0.3949901718
61	0.3904574433
62	0.3880461008
63	0.38537195
64	0.3839908359
65	0.3809170422
66	0.3769691801
67	0.3743266174
68	0.3716448581
69	0.3684240424
70	0.3668865723
71	0.3641640203
72	0.3625879488
73	0.3581225946
74	0.3563662736
75	0.3525104799
76	0.3501564741
77	0.3484704926
78	0.3452599153
79	0.3437522005
80	0.342677927
81	0.341405079
82	0.3390362932
83	0.3367312947
84	0.334745259
85	0.3328716716
86	0.3314781875
87	0.3301910937
88	0.3280965345
89	0.3253257157
90	0.3239970338
91	0.3217130141
92	0.3200473221
93	0.3186293018
94	0.3174803598
95	0.3166103272
96	0.3148708311
97	0.3136403677
98	0.3114646621
99	0.3103215133
