iter	Passed	Remaining
0	10	1053
1	21	1053
2	31	1011
3	40	970
4	50	968
5	60	952
6	70	941
7	80	924
8	89	906
9	99	898
10	109	887
11	119	878
12	130	871
13	140	863
14	150	852
15	160	841
16	170	833
17	181	825
18	191	815
19	201	807
20	213	803
21	223	793
22	233	781
23	244	775
24	254	762
25	263	751
26	273	740
27	282	727
28	293	718
29	304	709
30	313	697
31	323	688
32	333	677
33	343	666
34	354	658
35	364	647
36	374	638
37	387	631
38	397	622
39	407	611
40	418	602
41	428	592
42	438	581
43	449	572
44	460	562
45	470	552
46	481	543
47	491	532
48	501	521
49	510	510
50	520	500
51	531	490
52	540	479
53	551	469
54	562	460
55	573	450
56	584	441
57	594	430
58	604	419
59	614	409
60	623	398
61	634	388
62	643	378
63	653	367
64	662	356
65	673	346
66	682	336
67	692	325
68	702	315
69	713	305
70	723	295
71	734	285
72	744	275
73	755	265
74	768	256
75	779	246
76	789	235
77	801	225
78	810	215
79	821	205
80	834	195
81	846	185
82	858	175
83	868	165
84	881	155
85	894	145
86	905	135
87	914	124
88	925	114
89	935	103
90	946	93
91	958	83
92	968	72
93	978	62
94	989	52
95	999	41
96	1008	31
97	1018	20
98	1028	10
99	1038	0
