iter	Logloss
0	0.669160793
1	0.649881464
2	0.6308956515
3	0.6148344569
4	0.5995727608
5	0.5853823429
6	0.5693540377
7	0.5577190854
8	0.5453683005
9	0.5327856715
10	0.5212379774
11	0.510659086
12	0.5015225377
13	0.4911814835
14	0.4830016294
15	0.4753009612
16	0.465597684
17	0.4573885163
18	0.4500062981
19	0.4424723891
20	0.4361688033
21	0.4284986883
22	0.4217111962
23	0.4155514416
24	0.4095613181
25	0.4052587989
26	0.3997471363
27	0.3950205202
28	0.3894854764
29	0.3852396133
30	0.381034225
31	0.3763109574
32	0.3714413313
33	0.366889759
34	0.3618097021
35	0.3579050237
36	0.3536629291
37	0.3493323185
38	0.3462852222
39	0.3439451248
40	0.3399440324
41	0.3365891369
42	0.3331560263
43	0.3298508682
44	0.3267143815
45	0.3242535279
46	0.3214727923
47	0.3183561145
48	0.3152417324
49	0.3123913156
50	0.3097715524
51	0.3080511859
52	0.3059314902
53	0.3034395599
54	0.300297739
55	0.2985804256
56	0.2968314164
57	0.2942895055
58	0.2922146096
59	0.2894556331
60	0.2873916525
61	0.2850085214
62	0.2831472962
63	0.2817879773
64	0.2802957247
65	0.2782789382
66	0.2765842897
67	0.2748516201
68	0.2734434859
69	0.2718164245
70	0.2701978201
71	0.2683916231
72	0.266712005
73	0.2652794571
74	0.2637917032
75	0.2625787126
76	0.2613792501
77	0.2596180757
78	0.2580842848
79	0.2567583822
80	0.255315554
81	0.253181633
82	0.2524371628
83	0.2509116146
84	0.2501924724
85	0.2489482068
86	0.2473491734
87	0.2465304721
88	0.2454725304
89	0.2440988806
90	0.2429328746
91	0.2418070811
92	0.2401946121
93	0.23898877
94	0.2376353441
95	0.2365858905
96	0.2351863292
97	0.2336421557
98	0.2321843629
99	0.2302284857
