iter	Passed	Remaining
0	1	126
1	2	112
2	3	115
3	4	116
4	6	114
5	7	115
6	8	115
7	10	115
8	11	116
9	12	113
10	13	111
11	15	112
12	16	113
13	18	112
14	19	111
15	20	109
16	21	107
17	22	104
18	23	101
19	24	99
20	26	99
21	27	98
22	28	96
23	30	95
24	31	93
25	32	91
26	33	89
27	34	87
28	35	86
29	36	85
30	37	83
31	38	82
32	39	80
33	40	79
34	41	77
35	42	75
36	43	74
37	44	72
38	45	71
39	46	69
40	47	68
41	48	67
42	49	65
43	50	64
44	51	63
45	52	62
46	54	60
47	55	59
48	56	58
49	57	57
50	57	55
51	58	54
52	59	53
53	60	51
54	62	50
55	63	49
56	64	48
57	64	46
58	65	45
59	66	44
60	67	43
61	68	42
62	69	40
63	70	39
64	71	38
65	72	37
66	73	36
67	74	35
68	75	34
69	76	32
70	77	31
71	78	30
72	79	29
73	80	28
74	81	27
75	82	26
76	83	25
77	84	23
78	85	22
79	86	21
80	87	20
81	88	19
82	89	18
83	90	17
84	91	16
85	92	15
86	94	14
87	94	12
88	95	11
89	96	10
90	97	9
91	98	8
92	100	7
93	101	6
94	102	5
95	103	4
96	104	3
97	105	2
98	106	1
99	107	0
