Hotel_Name,Hotel_Reviews,H_Price_Range,H_Ratings
The Hoxton - Shoreditch,187,££,4.5
Ruskin Hotel,1,££,5
The Kensington Hotel,45,£££,4.5
Hotel 41,29,££££,5
Holiday Inn ,22,££,3.5
London Marriott Hotel Regents Park,35,££,3.5
CitizenM Hotel,78,££,4.5
Novotel,20,££,3.5
Afternoon Tea at The Montague on The Gardens,56,£££,4.5
"The Hoxton, Holborn",42,££,4
Hotel Indigo,24,££,4.5
Hilton London Bankside,23,£££,4.5
DoubleTree by Hilton Hotel London - Westminster,77,££,3.5
The Baileyâ€™s Hotel London,47,££,3.5
Queens Hotel,2,££,3.5
Hilton Garden Inn London Heathrow Terminals 2 and 3,12,££,4.5
DoubleTree by Hilton Hotel London - West End,39,££,3
"St. James' Court, A Taj Hotel",48,£££,4
Sofitel ,50,£££,4.5
The Dockside,2,£££,4.5
Imperial Hotel,25,££,3
Hotel Indigo,33,££,4.5
Green Street,3,££,4.5
The Rathbone,15,££,3.5
JW Marriott Grosvenor House London,109,£££,4
The Nadler Soho,18,£££,4.5
Newham Hotel,2,££,4
Hub By Premier Inn,13,££,4.5
The New London Carlton Hotel,1,££,5
Hub Premier Inn,10,£,4.5
London Bridge Hotel,10,£££,4
Dawson House Hotel,1,£££,4
St. Pancras Renaissance Hotel London,79,£££,4.5
ILondon Vip Chauffeur Limited,4,£££,5
The Langham London,76,££££,4.5
Express by Holiday Inn,5,£,3
South Place Hotel,31,££,4.5
Kingsland Hotel,1,££,5
Church Street Hotel,5,££,4
Mimi's Hotel Soho,8,££,4.5
Comfort Inn King Cross,12,££,2.5
Hyatt Regency London - The Churchill,70,£££,4.5
Conrad London St. James,,£££,4.5
ibis Hotel,24,££,3.5
DoubleTree by Hilton Angel Kings Cross,23,££,3.5
,136,£££,3.5
Belle Cour Hotel & SPA,3,£££,2
Dot Com Hotels,,£££,
The County Hotel,8,£,3
The Fielding,8,££,4.5
Holiday Inn ,18,££,3.5
Limetree Hotel,14,££,4
Plaza On the River Hotel,6,£££,3.5
Mile End Hotel,1,£££,5
Club Quarters,18,£££,3.5
Grange Buckingham Hotel,,££,4.5
Ham Yard Hotel,29,£££,4.5
The Westbridge Hotel,4,£,4
The Abbey Court Hotel,4,££,3.5
Ethos Travel,1,££,5
The Curtain,8,££,4.5
The Royal Horseguards Hotel,76,£££,4
The Lanesborough,46,£££,4.5
"St. Ermin's Hotel, Autograph Collection",123,£££,4
Antigallican Hotel,1,££,3
Luna Simone Hotel,22,££,4.5
Andaz London Liverpool Street,88,£££,4.5
TipTop Minicabs,,£££,
Crystal Travel,1,£££,5
The Bermondsey Square Hotel,6,££,3.5
Carlton Leisure,5,££,4
H10 Hotel,30,££,4.5
LSE High Holborn Residence,8,£,4
The California,9,£,3.5
The Windermere - Hotel & Brasserie,16,££,4.5
Avo Hotel,2,££,5
London Marriott Hotel Park Lane,45,£££,4.5
,2,£££,5
Hotel Montana,,£,4
Grange Blooms Hotel,1,£,5
The Caesar Hotel 4,22,££,4
Apex Temple Court Hotel,24,£££,4.5
Thistle,3,££,4
The Ampersand Hotel,47,£££,4.5
Residence Inn by Marriott,12,££,4
Kingsway Hall Hotel,15,££,
Pestana Chelsea Bridge,8,£££,4
The Wesley Euston Hotel & Conference Venue,9,££,3
InterContinental London - The O2,19,£££,4.5
SACO Waterloo Apartments,1,£££,4
Travelodge Hotel,4,£,4.5
Peoples Travel,1,£,5
The Shaftesbury,1,£,4
Days Inn London Hyde Park,6,££,3.5
The Rosebery - Supercity Aparthotels,3,££,4.5
Merry Pedaller Bike Tours,5,££,5
Diana Hotel,1,££,4
The Z Hotel Piccadilly,12,££,4.5
Radisson Blu Edwardian Hampshire,23,£££,4
The Zetter Townhouse Clerkenwell,29,££,4
Kings Hall,1,£££,5
Charlotte Street Hotel,29,£££,4
Hotel La Gaffe,6,££,5
Best Western Palm Hotel,4,££,4
Park Plaza Victoria London,30,£££,3.5
Bromley Court Hotel,2,£££,4
The Raglan Hotel,2,££,3.5
Chrysos Hotel,5,£,
Mad Hatter Hotel,30,££,3.5
Citadines St Mark's London,6,£££,4
Tripadvisor,3,£££,4.5
Accommodation London Studios,,£££,
London Stay Apartments,1,£££,5
Amba Hotel Charing Cross,36,£££,4.5
Royal National Hotel,53,££,2
Hilton London Angel Islington,28,££,3.5
Novotel London Greenwich,11,££,3
Tune Hotel,12,££,4
Club Quarters,42,££,4
York & Albany Townhouse,2,££,5
,53,££3,4
Portobello Hotel,5,£££,4.5
Dukes Hotel,,££££,
Angus Hotel,3,£££,2
Holiday Inn London Commercial Road,,££££,4.5
Four Seasons Hotel,28,££££,4.5
The Reem Hotel,,££,3
The Park Tower Knightsbridge,12,££££,3
Mercedes Chauffeur Hire,3,££££,5
Chelsea Guest House,3,££££,3.5
Thanet Hotel,5,££,4
Just The Ticket,1,££,5
Harlingford Hotel,15,££,4
The Ultimate Travel Company,1,££,
Trafalgar Tours,25,££,2.5
Four Seasons Hotel,5,££££,3.5
The Kings Head Hotel,5,££,4
Urban Villa ,6,££,4.5
W London- Leicester Square,110,£££,3
Taj,8,£££,5
Sandemans New London Tours,38,£££,4.5
Clink 78,50,££3,3.5
The Hari,8,££3,4.5
Premier Inn,8,££,3.5
Hotel Tria,1,££,5
40 Winks,3,£££,4.5
Western & Oriental Travel,,£££,
Comfort Inn Hyde Park,4,££,3
Shangri La Hotel,30,££££,4.5
Kensington House Hotel,9,££££,4
The Milestone Hotel and Residences,26,££££,4.5
Lancaster Gate Hotel,23,££,3.5
Justin James Hotel,2,££££,4
Ashburn Hotel,10,££,4.5
Pickwick Hall,5,££,4
Best Western Victoria Palace,,££,3.5
Parkwood Hotel,1,££,
Rushmore Hotel,2,££££,4.5
7-Continents Travel,3,££££,3.5
Howard Winchester Hotel,5,££££,2.5
Citadines Trafalgar Square London,27,££,3.5
Corinthia Hotel London,,££££,4.5
The Penn Club,2,££,4.5
Evan Evans Tours,172,£3,4
Parkstead House,,£3,
The Bridge Hotel,4,££,2
The London EDITION,43,£££,4.5
Novotel ,15,£££,3.5
London Marriott Hotel Maida Vale,34,£££,3
Travelodge,17,£,3.5
Ickenham Travel Group,,£,
The Lavender Guest House,1,£,5
Radisson,17,£££,4
Journeys Kings Cross Hostel,5,£££,2.5
Darlington Hyde Park,9,£,4
Best Western - The Delmere Hotel,9,£,3.5
London City Hotel,4,££,4
Crescent Hotel,6,£££,4.5
The Albro House Motel,1,£££,5
Royal Eagle,10,££,2.5
