iter	Passed	Remaining
0	163	163660
1	197	98494
2	233	77607
3	273	68047
4	315	62717
5	352	58368
6	388	55115
7	427	52983
8	467	51423
9	503	49853
10	539	48461
11	577	47568
12	616	46807
13	656	46234
14	698	45875
15	736	45270
16	771	44598
17	818	44670
18	856	44217
19	897	43998
20	936	43675
21	978	43510
22	1016	43175
23	1053	42843
24	1088	42433
25	1131	42393
26	1172	42267
27	1214	42169
28	1272	42608
29	1323	42798
30	1364	42654
31	1408	42602
32	1447	42410
33	1489	42322
34	1530	42196
35	1569	42024
36	1607	41844
37	1647	41717
38	1687	41581
39	1725	41411
40	1769	41391
41	1811	41323
42	1861	41434
43	1905	41403
44	1945	41281
45	1985	41178
46	2026	41099
47	2068	41029
48	2106	40892
49	2149	40848
50	2193	40810
51	2234	40735
52	2273	40624
53	2316	40582
54	2358	40522
55	2396	40391
56	2439	40365
57	2484	40349
58	2528	40326
59	2575	40354
60	2615	40265
61	2661	40270
62	2716	40395
63	2761	40389
64	2801	40299
65	2838	40162
66	2883	40155
67	2932	40190
68	2971	40091
69	3012	40027
70	3058	40012
71	3113	40125
72	3154	40059
73	3201	40061
74	3244	40011
75	3289	39993
76	3332	39944
77	3375	39901
78	3414	39809
79	3454	39731
80	3498	39688
81	3537	39598
82	3575	39498
83	3631	39601
84	3679	39609
85	3720	39537
86	3763	39491
87	3802	39411
88	3844	39355
89	3886	39296
90	3924	39206
91	3959	39082
92	3998	38992
93	4038	38924
94	4080	38872
95	4117	38775
96	4157	38707
97	4195	38613
98	4236	38555
99	4276	38487
100	4315	38409
101	4353	38324
102	4404	38360
103	4446	38310
104	4486	38240
105	4523	38153
106	4575	38182
107	4615	38119
108	4650	38015
109	4687	37925
110	4725	37843
111	4761	37749
112	4803	37705
113	4842	37631
114	4883	37579
115	4920	37499
116	4960	37434
117	5029	37593
118	5064	37494
119	5103	37426
120	5140	37343
121	5178	37268
122	5215	37189
123	5296	37416
124	5338	37371
125	5387	37369
126	5428	37313
127	5469	37258
128	5508	37190
129	5549	37139
130	5590	37084
131	5629	37015
132	5667	36946
133	5706	36879
134	5746	36822
135	5800	36853
136	5844	36818
137	5879	36726
138	5916	36645
139	5955	36584
140	5992	36509
141	6041	36502
142	6078	36426
143	6113	36341
144	6150	36265
145	6187	36193
146	6225	36123
147	6261	36044
148	6296	35961
149	6334	35898
150	6370	35817
151	6411	35766
152	6446	35687
153	6481	35606
154	6522	35559
155	6556	35469
156	6594	35406
157	6630	35335
158	6666	35258
159	6701	35182
160	6739	35118
161	6777	35058
162	6814	34993
163	6852	34932
164	6890	34868
165	6927	34805
166	6967	34751
167	7014	34739
168	7049	34665
169	7084	34587
170	7120	34518
171	7159	34465
172	7193	34388
173	7230	34325
174	7267	34259
175	7302	34187
176	7339	34124
177	7377	34067
178	7415	34011
179	7453	33952
180	7489	33887
181	7525	33823
182	7564	33769
183	7600	33705
184	7636	33642
185	7673	33581
186	7712	33531
187	7749	33473
188	7796	33454
189	7835	33402
190	7872	33344
191	7908	33282
192	7977	33355
193	8016	33306
194	8055	33254
195	8097	33216
196	8164	33281
197	8205	33235
198	8242	33177
199	8279	33117
200	8317	33062
201	8352	32997
202	8387	32928
203	8423	32866
204	8463	32822
205	8504	32778
206	8543	32728
207	8583	32682
208	8621	32628
209	8660	32581
210	8702	32540
211	8743	32497
212	8781	32446
213	8831	32436
214	8867	32376
215	8902	32312
216	8938	32252
217	8978	32205
218	9014	32146
219	9049	32085
220	9085	32024
221	9120	31962
222	9159	31916
223	9203	31883
224	9239	31825
225	9276	31768
226	9312	31710
227	9350	31658
228	9389	31614
229	9428	31565
230	9464	31507
231	9503	31459
232	9540	31407
233	9578	31354
234	9618	31311
235	9656	31261
236	9692	31204
237	9733	31163
238	9771	31113
239	9810	31067
240	9852	31028
241	9892	30985
242	9928	30930
243	9966	30878
244	10003	30826
245	10038	30769
246	10077	30720
247	10115	30672
248	10163	30654
249	10198	30594
250	10236	30547
251	10271	30487
252	10309	30439
253	10349	30396
254	10384	30339
255	10419	30281
256	10460	30242
257	10507	30219
258	10546	30172
259	10586	30129
260	10623	30079
261	10661	30030
262	10696	29975
263	10735	29930
264	10775	29887
265	10816	29845
266	10866	29832
267	10904	29783
268	10942	29735
269	10977	29679
270	11013	29626
271	11055	29588
272	11091	29537
273	11133	29498
274	11169	29447
275	11205	29394
276	11256	29381
277	11292	29329
278	11331	29282
279	11368	29233
280	11402	29176
281	11445	29141
282	11483	29093
283	11518	29039
284	11555	28988
285	11591	28937
286	11638	28914
287	11681	28879
288	11719	28833
289	11754	28778
290	11796	28742
291	11846	28723
292	11881	28668
293	11915	28613
294	11955	28571
295	11997	28533
296	12032	28480
297	12080	28457
298	12116	28406
299	12151	28353
300	12191	28312
301	12227	28261
302	12291	28275
303	12327	28224
304	12364	28174
305	12408	28142
306	12446	28094
307	12484	28049
308	12519	27996
309	12556	27949
310	12595	27905
311	12633	27857
312	12672	27813
313	12709	27766
314	12744	27714
315	12784	27672
316	12821	27624
317	12858	27577
318	12898	27535
319	12934	27485
320	12972	27439
321	13010	27395
322	13052	27357
323	13086	27303
324	13121	27251
325	13156	27200
326	13194	27155
327	13231	27108
328	13264	27053
329	13301	27006
330	13351	26984
331	13397	26955
332	13436	26914
333	13474	26867
334	13514	26827
335	13556	26789
336	13601	26759
337	13637	26710
338	13674	26662
339	13725	26643
340	13764	26601
341	13803	26557
342	13841	26512
343	13879	26467
344	13915	26419
345	13950	26368
346	13987	26322
347	14024	26275
348	14058	26224
349	14093	26173
350	14130	26126
351	14167	26080
352	14204	26035
353	14243	25992
354	14284	25953
355	14319	25903
356	14360	25865
357	14403	25829
358	14441	25784
359	14484	25750
360	14525	25711
361	14591	25715
362	14624	25663
363	14666	25626
364	14715	25600
365	14754	25558
366	14791	25512
367	14828	25466
368	14864	25419
369	14906	25380
370	14942	25334
371	14980	25289
372	15018	25245
373	15053	25196
374	15089	25148
375	15125	25101
376	15167	25063
377	15203	25017
378	15238	24968
379	15274	24921
380	15311	24875
381	15347	24829
382	15387	24787
383	15424	24742
384	15476	24722
385	15512	24674
386	15549	24630
387	15593	24596
388	15631	24552
389	15674	24516
390	15710	24469
391	15747	24425
392	15784	24378
393	15823	24338
394	15866	24302
395	15908	24264
396	15946	24220
397	15985	24178
398	16027	24141
399	16097	24146
400	16135	24102
401	16172	24057
402	16206	24007
403	16241	23960
404	16278	23915
405	16363	23940
406	16399	23894
407	16434	23845
408	16470	23800
409	16511	23761
410	16547	23713
411	16585	23670
412	16624	23628
413	16662	23584
414	16700	23541
415	16737	23496
416	16770	23447
417	16808	23403
418	16844	23356
419	16882	23314
420	16923	23275
421	16963	23234
422	17002	23192
423	17039	23148
424	17078	23106
425	17124	23074
426	17168	23039
427	17206	22995
428	17242	22950
429	17278	22903
430	17315	22860
431	17352	22814
432	17388	22769
433	17425	22725
434	17460	22679
435	17496	22633
436	17536	22593
437	17577	22553
438	17613	22508
439	17648	22461
440	17686	22418
441	17728	22381
442	17762	22333
443	17800	22290
444	17834	22243
445	17875	22204
446	17913	22161
447	17951	22118
448	17987	22073
449	18023	22028
450	18059	21984
451	18097	21940
452	18130	21893
453	18166	21848
454	18206	21808
455	18243	21763
456	18278	21717
457	18315	21674
458	18351	21629
459	18389	21587
460	18426	21543
461	18462	21499
462	18498	21455
463	18537	21413
464	18572	21368
465	18613	21329
466	18649	21285
467	18687	21243
468	18735	21212
469	18770	21167
470	18810	21127
471	18851	21087
472	18890	21046
473	18927	21004
474	18965	20961
475	19002	20918
476	19050	20887
477	19099	20857
478	19138	20817
479	19177	20775
480	19213	20731
481	19250	20687
482	19288	20646
483	19325	20603
484	19360	20557
485	19396	20514
486	19433	20471
487	19471	20428
488	19508	20385
489	19544	20342
490	19579	20297
491	19621	20259
492	19659	20218
493	19696	20175
494	19736	20135
495	19774	20093
496	19822	20061
497	19865	20024
498	19912	19992
499	19950	19950
500	19986	19906
501	20023	19864
502	20060	19820
503	20094	19775
504	20133	19734
505	20172	19693
506	20209	19651
507	20244	19606
508	20279	19562
509	20316	19520
510	20365	19488
511	20409	19452
512	20445	19409
513	20485	19369
514	20521	19325
515	20558	19283
516	20598	19243
517	20635	19201
518	20672	19158
519	20708	19115
520	20754	19081
521	20789	19037
522	20826	18994
523	20865	18954
524	20903	18912
525	20938	18868
526	20974	18825
527	21008	18780
528	21045	18738
529	21082	18695
530	21123	18657
531	21158	18613
532	21193	18568
533	21228	18525
534	21265	18483
535	21304	18442
536	21340	18399
537	21374	18355
538	21410	18312
539	21448	18271
540	21487	18230
541	21538	18200
542	21575	18158
543	21610	18114
544	21649	18074
545	21685	18031
546	21724	17991
547	21763	17950
548	21798	17907
549	21833	17863
550	21873	17824
551	21909	17781
552	21946	17739
553	21983	17698
554	22021	17656
555	22056	17613
556	22114	17588
557	22153	17548
558	22189	17505
559	22228	17465
560	22264	17422
561	22300	17379
562	22335	17336
563	22373	17295
564	22411	17255
565	22454	17217
566	22492	17176
567	22528	17134
568	22565	17092
569	22602	17051
570	22640	17010
571	22688	16976
572	22726	16935
573	22763	16894
574	22797	16850
575	22838	16811
576	22874	16769
577	22908	16725
578	22944	16683
579	22995	16651
580	23032	16610
581	23067	16567
582	23106	16527
583	23140	16483
584	23175	16440
585	23211	16398
586	23248	16357
587	23284	16314
588	23322	16274
589	23357	16231
590	23393	16189
591	23431	16148
592	23469	16108
593	23507	16067
594	23544	16026
595	23582	15985
596	23626	15949
597	23662	15906
598	23695	15863
599	23733	15822
600	23769	15780
601	23808	15740
602	23843	15697
603	23881	15657
604	23917	15615
605	23954	15574
606	23990	15532
607	24026	15490
608	24061	15448
609	24135	15430
610	24170	15388
611	24210	15349
612	24248	15308
613	24285	15267
614	24320	15225
615	24356	15183
616	24393	15142
617	24431	15101
618	24474	15064
619	24519	15027
620	24555	14986
621	24592	14945
622	24644	14913
623	24680	14871
624	24714	14828
625	24749	14786
626	24798	14752
627	24835	14711
628	24870	14669
629	24907	14628
630	24943	14586
631	24978	14544
632	25015	14503
633	25056	14464
634	25097	14426
635	25131	14383
636	25166	14341
637	25202	14299
638	25240	14259
639	25283	14222
640	25320	14181
641	25356	14139
642	25391	14097
643	25426	14055
644	25474	14020
645	25511	13980
646	25548	13939
647	25595	13903
648	25632	13862
649	25670	13822
650	25705	13780
651	25745	13741
652	25795	13707
653	25832	13666
654	25875	13628
655	25915	13589
656	25953	13549
657	25991	13509
658	26034	13471
659	26070	13430
660	26107	13389
661	26150	13351
662	26230	13333
663	26268	13292
664	26303	13250
665	26339	13209
666	26375	13167
667	26411	13126
668	26453	13088
669	26490	13047
670	26524	13005
671	26560	12963
672	26599	12924
673	26644	12887
674	26683	12847
675	26719	12806
676	26770	12772
677	26806	12731
678	26842	12690
679	26877	12648
680	26915	12608
681	26954	12568
682	26989	12526
683	27024	12485
684	27060	12443
685	27097	12403
686	27136	12363
687	27171	12322
688	27210	12282
689	27249	12242
690	27286	12202
691	27328	12163
692	27370	12125
693	27409	12085
694	27448	12045
695	27484	12004
696	27529	11967
697	27574	11930
698	27615	11891
699	27651	11850
700	27689	11810
701	27729	11771
702	27794	11742
703	27833	11702
704	27868	11661
705	27903	11619
706	27940	11579
707	27977	11538
708	28016	11498
709	28053	11458
710	28088	11417
711	28124	11376
712	28167	11337
713	28229	11307
714	28270	11268
715	28308	11228
716	28351	11190
717	28392	11151
718	28430	11111
719	28481	11076
720	28521	11036
721	28562	10997
722	28606	10959
723	28645	10920
724	28695	10884
725	28733	10844
726	28778	10806
727	28820	10768
728	28867	10731
729	28903	10690
730	28941	10650
731	28986	10612
732	29025	10572
733	29068	10534
734	29106	10494
735	29141	10453
736	29176	10411
737	29218	10372
738	29256	10332
739	29293	10292
740	29331	10252
741	29372	10213
742	29409	10172
743	29448	10132
744	29486	10092
745	29525	10052
746	29584	10019
747	29622	9979
748	29662	9940
749	29703	9901
750	29742	9861
751	29784	9822
752	29825	9783
753	29861	9742
754	29899	9702
755	29936	9662
756	29973	9621
757	30009	9580
758	30044	9539
759	30078	9498
760	30116	9458
761	30155	9418
762	30194	9378
763	30234	9339
764	30271	9299
765	30307	9258
766	30345	9218
767	30388	9179
768	30437	9143
769	30472	9102
770	30518	9064
771	30560	9025
772	30602	8986
773	30663	8953
774	30706	8914
775	30748	8875
776	30798	8839
777	30835	8798
778	30872	8758
779	30908	8717
780	30953	8679
781	30989	8639
782	31025	8598
783	31065	8558
784	31101	8518
785	31136	8477
786	31176	8437
787	31210	8396
788	31248	8356
789	31286	8316
790	31323	8276
791	31357	8235
792	31393	8194
793	31438	8156
794	31478	8117
795	31514	8076
796	31551	8036
797	31588	7996
798	31622	7955
799	31664	7916
800	31708	7877
801	31744	7837
802	31780	7796
803	31815	7756
804	31849	7715
805	31893	7676
806	31928	7636
807	31964	7595
808	31999	7554
809	32037	7515
810	32074	7474
811	32114	7435
812	32152	7395
813	32188	7355
814	32224	7314
815	32261	7274
816	32297	7234
817	32336	7194
818	32375	7155
819	32411	7114
820	32447	7074
821	32488	7035
822	32524	6994
823	32564	6955
824	32603	6915
825	32641	6876
826	32674	6835
827	32712	6795
828	32751	6755
829	32789	6715
830	32829	6676
831	32863	6635
832	32903	6596
833	32941	6556
834	32979	6516
835	33022	6478
836	33062	6438
837	33099	6398
838	33138	6359
839	33177	6319
840	33215	6279
841	33255	6240
842	33295	6200
843	33338	6162
844	33377	6122
845	33415	6082
846	33451	6042
847	33492	6003
848	33534	5964
849	33575	5925
850	33619	5886
851	33659	5846
852	33706	5808
853	33748	5769
854	33787	5729
855	33829	5690
856	33871	5651
857	33910	5612
858	33955	5573
859	33991	5533
860	34028	5493
861	34063	5453
862	34099	5413
863	34140	5373
864	34177	5334
865	34213	5294
866	34248	5253
867	34284	5213
868	34321	5173
869	34363	5134
870	34410	5096
871	34445	5056
872	34482	5016
873	34521	4976
874	34565	4937
875	34604	4898
876	34640	4858
877	34688	4819
878	34725	4780
879	34761	4740
880	34800	4700
881	34838	4660
882	34873	4620
883	34907	4580
884	34950	4541
885	34987	4501
886	35022	4461
887	35061	4422
888	35099	4382
889	35137	4342
890	35174	4303
891	35210	4263
892	35245	4223
893	35285	4183
894	35321	4143
895	35355	4103
896	35392	4063
897	35427	4024
898	35465	3984
899	35505	3945
900	35543	3905
901	35585	3866
902	35619	3826
903	35659	3786
904	35699	3747
905	35738	3707
906	35774	3668
907	35812	3628
908	35847	3588
909	35883	3548
910	35922	3509
911	35959	3469
912	36000	3430
913	36036	3390
914	36088	3352
915	36123	3312
916	36162	3273
917	36204	3233
918	36239	3194
919	36277	3154
920	36314	3114
921	36350	3075
922	36408	3037
923	36443	2997
924	36479	2957
925	36515	2918
926	36551	2878
927	36618	2841
928	36656	2801
929	36693	2761
930	36732	2722
931	36769	2682
932	36806	2643
933	36841	2603
934	36879	2563
935	36945	2526
936	36984	2486
937	37021	2447
938	37057	2407
939	37096	2367
940	37133	2328
941	37174	2288
942	37222	2249
943	37257	2210
944	37298	2170
945	37347	2131
946	37389	2092
947	37425	2052
948	37462	2013
949	37500	1973
950	37538	1934
951	37579	1894
952	37623	1855
953	37659	1815
954	37695	1776
955	37732	1736
956	37767	1696
957	37807	1657
958	37841	1617
959	37878	1578
960	37920	1538
961	37963	1499
962	37996	1459
963	38034	1420
964	38072	1380
965	38106	1341
966	38152	1301
967	38189	1262
968	38227	1222
969	38268	1183
970	38305	1144
971	38342	1104
972	38378	1064
973	38412	1025
974	38449	985
975	38495	946
976	38541	907
977	38576	867
978	38609	828
979	38644	788
980	38680	749
981	38720	709
982	38756	670
983	38800	630
984	38838	591
985	38875	551
986	38911	512
987	38949	473
988	38983	433
989	39020	394
990	39060	354
991	39098	315
992	39134	275
993	39171	236
994	39211	197
995	39246	157
996	39284	118
997	39320	78
998	39357	39
999	39395	0
