iter	Passed	Remaining
0	31	31811
1	63	31450
2	95	31760
3	126	31496
4	158	31572
5	193	31989
6	227	32273
7	269	33395
8	304	33528
9	340	33692
10	377	33926
11	413	34010
12	447	33958
13	493	34773
14	526	34570
15	559	34430
16	592	34252
17	625	34144
18	661	34144
19	701	34381
20	738	34415
21	774	34427
22	809	34365
23	845	34391
24	889	34689
25	927	34741
26	963	34704
27	998	34671
28	1032	34573
29	1068	34536
30	1103	34477
31	1138	34432
32	1184	34716
33	1223	34758
34	1261	34775
35	1300	34820
36	1336	34774
37	1371	34710
38	1410	34748
39	1444	34677
40	1480	34640
41	1517	34606
42	1557	34662
43	1588	34522
44	1621	34421
45	1656	34352
46	1693	34331
47	1728	34284
48	1762	34197
49	1796	34128
50	1828	34031
51	1863	33965
52	1903	34013
53	1941	34007
54	1977	33979
55	2011	33903
56	2046	33863
57	2082	33815
58	2116	33753
59	2161	33860
60	2199	33852
61	2236	33831
62	2271	33777
63	2306	33732
64	2342	33697
65	2380	33688
66	2419	33690
67	2456	33675
68	2490	33600
69	2525	33551
70	2561	33516
71	2600	33522
72	2639	33516
73	2672	33436
74	2705	33371
75	2741	33324
76	2777	33288
77	2813	33261
78	2854	33277
79	2892	33266
80	2928	33224
81	2965	33196
82	3002	33167
83	3042	33179
84	3084	33199
85	3120	33161
86	3157	33133
87	3196	33126
88	3232	33085
89	3272	33089
90	3307	33038
91	3341	32981
92	3376	32932
93	3413	32905
94	3449	32862
95	3485	32825
96	3519	32762
97	3554	32711
98	3586	32641
99	3620	32581
100	3656	32549
101	3694	32523
102	3730	32490
103	3764	32432
104	3799	32382
105	3831	32312
106	3866	32271
107	3889	32120
108	3927	32105
109	3970	32121
110	4003	32060
111	4063	32216
112	4104	32215
113	4147	32234
114	4185	32209
115	4220	32163
116	4269	32225
117	4303	32166
118	4340	32131
119	4377	32101
120	4413	32061
121	4450	32025
122	4486	31990
123	4521	31938
124	4556	31897
125	4597	31888
126	4638	31886
127	4672	31828
128	4710	31804
129	4746	31761
130	4784	31736
131	4818	31684
132	4856	31658
133	4892	31618
134	4928	31576
135	4961	31518
136	4998	31484
137	5036	31459
138	5070	31405
139	5160	31701
140	5207	31725
141	5253	31744
142	5293	31721
143	5328	31676
144	5367	31651
145	5406	31627
146	5442	31578
147	5478	31535
148	5513	31491
149	5557	31491
150	5598	31475
151	5646	31501
152	5707	31595
153	5764	31665
154	5815	31705
155	5850	31655
156	5885	31600
157	5919	31546
158	5970	31580
159	6007	31540
160	6041	31484
161	6077	31438
162	6110	31377
163	6145	31327
164	6181	31284
165	6217	31236
166	6254	31197
167	6286	31133
168	6317	31062
169	6370	31104
170	6398	31021
171	6427	30943
172	6457	30870
173	6487	30797
174	6517	30726
175	6546	30647
176	6578	30587
177	6609	30523
178	6652	30513
179	6707	30555
180	6737	30484
181	6766	30411
182	6794	30335
183	6823	30262
184	6854	30195
185	6885	30131
186	6916	30068
187	6947	30005
188	6976	29935
189	7005	29863
190	7034	29797
191	7064	29730
192	7093	29662
193	7122	29592
194	7152	29527
195	7181	29457
196	7210	29389
197	7238	29321
198	7268	29256
199	7296	29184
200	7325	29119
201	7353	29050
202	7382	28984
203	7411	28918
204	7440	28852
205	7469	28788
206	7500	28732
207	7530	28672
208	7559	28609
209	7589	28549
210	7618	28486
211	7647	28427
212	7675	28359
213	7704	28296
214	7733	28236
215	7762	28175
216	7791	28115
217	7820	28053
218	7849	27992
219	7879	27937
220	7911	27886
221	7941	27831
222	7970	27771
223	7999	27711
224	8030	27660
225	8060	27603
226	8090	27550
227	8119	27491
228	8147	27430
229	8176	27372
230	8205	27314
231	8234	27259
232	8263	27203
233	8293	27147
234	8305	27035
235	8331	26971
236	8360	26914
237	8388	26857
238	8416	26800
239	8445	26745
240	8475	26693
241	8504	26639
242	8534	26588
243	8564	26537
244	8594	26485
245	8623	26430
246	8652	26377
247	8681	26323
248	8698	26235
249	8726	26180
250	8758	26137
251	8790	26091
252	8820	26044
253	8853	26003
254	8866	25903
255	8893	25846
256	8923	25797
257	8953	25749
258	8982	25700
259	9012	25652
260	9044	25608
261	9075	25564
262	9107	25520
263	9143	25491
264	9177	25455
265	9209	25412
266	9238	25362
267	9269	25317
268	9298	25268
269	9327	25218
270	9356	25170
271	9385	25119
272	9417	25079
273	9449	25036
274	9482	25000
275	9515	24961
276	9573	24989
277	9603	24942
278	9634	24897
279	9665	24855
280	9695	24808
281	9725	24763
282	9756	24718
283	9786	24673
284	9818	24632
285	9851	24595
286	9884	24556
287	9915	24512
288	9944	24466
289	9974	24421
290	10005	24378
291	10035	24332
292	10068	24294
293	10101	24257
294	10132	24215
295	10166	24180
296	10201	24146
297	10262	24174
298	10304	24159
299	10336	24117
300	10394	24138
301	10423	24091
302	10453	24046
303	10485	24005
304	10517	23966
305	10550	23927
306	10582	23887
307	10612	23844
308	10641	23797
309	10671	23752
310	10701	23709
311	10736	23676
312	10768	23636
313	10800	23596
314	10831	23553
315	10862	23512
316	10894	23474
317	10927	23435
318	10959	23396
319	10991	23357
320	11023	23316
321	11053	23274
322	11084	23233
323	11118	23197
324	11151	23159
325	11191	23138
326	11238	23129
327	11273	23096
328	11305	23057
329	11338	23019
330	11382	23005
331	11415	22967
332	11447	22929
333	11476	22885
334	11511	22851
335	11544	22813
336	11576	22774
337	11606	22732
338	11636	22689
339	11668	22649
340	11697	22606
341	11729	22567
342	11763	22532
343	11795	22493
344	11829	22458
345	11864	22425
346	11898	22390
347	11936	22364
348	11966	22321
349	11996	22279
350	12029	22241
351	12061	22203
352	12091	22162
353	12121	22119
354	12138	22054
355	12170	22016
356	12210	21993
357	12259	21985
358	12291	21946
359	12321	21905
360	12350	21860
361	12378	21816
362	12407	21773
363	12436	21729
364	12464	21684
365	12493	21641
366	12523	21601
367	12566	21580
368	12597	21542
369	12650	21539
370	12693	21521
371	12734	21497
372	12769	21464
373	12801	21427
374	12832	21386
375	12866	21353
376	12899	21316
377	12928	21274
378	12958	21233
379	12989	21193
380	13022	21156
381	13058	21125
382	13093	21093
383	13127	21058
384	13167	21033
385	13200	20997
386	13233	20961
387	13269	20929
388	13301	20893
389	13333	20854
390	13364	20816
391	13397	20780
392	13430	20743
393	13460	20703
394	13496	20672
395	13529	20636
396	13564	20602
397	13594	20562
398	13625	20523
399	13656	20484
400	13686	20445
401	13718	20407
402	13751	20370
403	13781	20330
404	13809	20288
405	13837	20245
406	13865	20201
407	13895	20161
408	13925	20121
409	13951	20077
410	13980	20035
411	14009	19994
412	14039	19953
413	14071	19917
414	14107	19886
415	14144	19856
416	14181	19826
417	14212	19789
418	14243	19750
419	14273	19710
420	14304	19673
421	14334	19634
422	14365	19595
423	14395	19556
424	14426	19518
425	14463	19488
426	14495	19451
427	14526	19413
428	14555	19372
429	14584	19332
430	14614	19294
431	14643	19253
432	14671	19211
433	14700	19171
434	14729	19131
435	14762	19096
436	14791	19055
437	14819	19014
438	14847	18973
439	14875	18932
440	14902	18890
441	14931	18850
442	14960	18810
443	14988	18769
444	15016	18728
445	15045	18689
446	15074	18649
447	15104	18611
448	15133	18571
449	15170	18541
450	15203	18507
451	15235	18470
452	15264	18431
453	15292	18391
454	15320	18351
455	15350	18312
456	15378	18272
457	15405	18231
458	15433	18191
459	15462	18152
460	15489	18110
461	15517	18070
462	15545	18029
463	15573	17990
464	15607	17956
465	15637	17919
466	15667	17881
467	15700	17847
468	15733	17813
469	15762	17774
470	15790	17735
471	15821	17698
472	15849	17659
473	15899	17643
474	15928	17605
475	15957	17567
476	15986	17528
477	16016	17490
478	16049	17457
479	16078	17418
480	16118	17391
481	16152	17358
482	16180	17319
483	16210	17281
484	16237	17242
485	16266	17203
486	16294	17164
487	16324	17127
488	16353	17089
489	16382	17051
490	16414	17016
491	16445	16980
492	16475	16943
493	16509	16910
494	16538	16872
495	16569	16837
496	16604	16805
497	16636	16770
498	16666	16733
499	16695	16695
500	16731	16664
501	16762	16628
502	16804	16603
503	16836	16569
504	16866	16532
505	16904	16503
506	16934	16466
507	16962	16428
508	16990	16390
509	17019	16352
510	17048	16314
511	17081	16280
512	17110	16243
513	17139	16206
514	17169	16169
515	17197	16130
516	17226	16093
517	17256	16057
518	17285	16020
519	17313	15982
520	17342	15944
521	17374	15910
522	17405	15874
523	17434	15837
524	17462	15799
525	17496	15766
526	17526	15730
527	17555	15693
528	17586	15658
529	17595	15603
530	17622	15565
531	17651	15527
532	17680	15490
533	17709	15454
534	17738	15417
535	17766	15379
536	17797	15344
537	17827	15309
538	17857	15273
539	17889	15239
540	17919	15203
541	17950	15168
542	17981	15133
543	18012	15098
544	18041	15062
545	18071	15026
546	18103	14992
547	18158	14977
548	18206	14956
549	18238	14922
550	18273	14890
551	18316	14865
552	18350	14832
553	18384	14800
554	18421	14770
555	18458	14739
556	18519	14728
557	18548	14692
558	18577	14655
559	18606	14619
560	18638	14585
561	18666	14548
562	18696	14511
563	18724	14474
564	18752	14438
565	18781	14401
566	18810	14364
567	18842	14330
568	18874	14296
569	18903	14260
570	18933	14225
571	18966	14191
572	18994	14154
573	19025	14120
574	19057	14086
575	19086	14049
576	19117	14015
577	19146	13978
578	19176	13943
579	19206	13907
580	19235	13871
581	19263	13835
582	19292	13799
583	19320	13762
584	19348	13725
585	19378	13690
586	19407	13654
587	19436	13618
588	19463	13581
589	19474	13533
590	19502	13496
591	19531	13461
592	19561	13425
593	19590	13390
594	19619	13354
595	19647	13317
596	19676	13282
597	19704	13246
598	19734	13211
599	19764	13176
600	19791	13139
601	19820	13103
602	19849	13068
603	19878	13032
604	19906	12996
605	19935	12961
606	19964	12925
607	19993	12890
608	20022	12855
609	20065	12828
610	20095	12793
611	20125	12759
612	20154	12723
613	20185	12689
614	20213	12654
615	20242	12618
616	20270	12583
617	20288	12540
618	20315	12504
619	20342	12467
620	20369	12431
621	20397	12395
622	20425	12360
623	20454	12325
624	20482	12289
625	20511	12254
626	20539	12218
627	20566	12182
628	20595	12147
629	20623	12112
630	20654	12078
631	20682	12042
632	20710	12007
633	20739	11972
634	20770	11939
635	20800	11904
636	20828	11869
637	20857	11834
638	20886	11799
639	20915	11764
640	20943	11729
641	20973	11695
642	21001	11660
643	21031	11625
644	21060	11591
645	21105	11565
646	21134	11530
647	21166	11497
648	21195	11463
649	21224	11428
650	21253	11393
651	21281	11358
652	21309	11323
653	21338	11289
654	21375	11259
655	21407	11225
656	21443	11194
657	21487	11168
658	21524	11137
659	21555	11104
660	21586	11070
661	21620	11038
662	21653	11006
663	21682	10971
664	21710	10936
665	21738	10901
666	21769	10868
667	21798	10834
668	21826	10799
669	21854	10763
670	21881	10728
671	21909	10693
672	21937	10659
673	21966	10624
674	21994	10589
675	22023	10555
676	22052	10521
677	22080	10486
678	22107	10451
679	22135	10416
680	22164	10382
681	22194	10348
682	22265	10333
683	22293	10299
684	22322	10264
685	22351	10230
686	22379	10196
687	22407	10161
688	22435	10126
689	22465	10093
690	22495	10059
691	22523	10024
692	22551	9990
693	22580	9956
694	22609	9922
695	22638	9887
696	22666	9853
697	22695	9819
698	22724	9785
699	22754	9751
