iter	Passed	Remaining
0	187	187112
1	220	109958
2	259	86125
3	297	74111
4	331	66052
5	367	60920
6	408	57932
7	444	55062
8	488	53791
9	525	51980
10	562	50550
11	599	49375
12	638	48473
13	673	47438
14	715	47016
15	750	46132
16	788	45577
17	822	44870
18	858	44330
19	896	43948
20	934	43557
21	970	43133
22	1020	43351
23	1054	42879
24	1092	42621
25	1128	42282
26	1167	42071
27	1204	41801
28	1244	41669
29	1326	42876
30	1399	43740
31	1440	43565
32	1478	43335
33	1515	43068
34	1554	42863
35	1601	42892
36	1638	42636
37	1673	42376
38	1709	42131
39	1747	41944
40	1785	41760
41	1825	41631
42	1859	41378
43	1903	41357
44	1941	41209
45	1979	41049
46	2016	40889
47	2054	40739
48	2094	40648
49	2131	40505
50	2168	40341
51	2219	40458
52	2276	40680
53	2309	40465
54	2351	40409
55	2417	40745
56	2460	40713
57	2503	40652
58	2544	40581
59	2584	40484
60	2625	40417
61	2668	40367
62	2708	40279
63	2748	40196
64	2798	40255
65	2842	40223
66	2895	40323
67	2942	40328
68	2989	40333
69	3035	40324
70	3077	40265
71	3110	40091
72	3147	39971
73	3206	40123
74	3242	39993
75	3278	39856
76	3316	39750
77	3350	39608
78	3391	39538
79	3429	39441
80	3462	39283
81	3497	39158
82	3548	39202
83	3591	39163
84	3628	39054
85	3666	38965
86	3703	38869
87	3755	38919
88	3798	38876
89	3838	38808
90	3875	38714
91	3912	38619
92	3953	38557
93	3994	38500
94	4034	38438
95	4070	38328
96	4110	38262
97	4143	38140
98	4181	38054
99	4217	37956
100	4249	37828
101	4286	37738
102	4319	37621
103	4354	37512
104	4392	37438
105	4441	37459
106	4485	37431
107	4512	37269
108	4547	37174
109	4583	37084
110	4623	37031
111	4672	37044
112	4710	36973
113	4774	37106
114	4815	37056
115	4856	37011
116	4914	37091
117	4949	36998
118	4988	36929
119	5026	36859
120	5059	36752
121	5093	36655
122	5131	36589
123	5171	36532
124	5207	36449
125	5244	36377
126	5281	36303
127	5323	36269
128	5371	36267
129	5411	36212
130	5447	36138
131	5515	36267
132	5551	36189
133	5592	36140
134	5634	36100
135	5674	36048
136	5710	35969
137	5745	35891
138	5781	35814
139	5821	35761
140	5854	35667
141	5891	35596
142	5926	35515
143	5961	35435
144	5997	35362
145	6047	35375
146	6085	35314
147	6120	35232
148	6156	35163
149	6192	35091
150	6229	35026
151	6274	35006
152	6307	34918
153	6364	34962
154	6399	34886
155	6434	34810
156	6480	34796
157	6522	34756
158	6556	34677
159	6591	34603
160	6628	34540
161	6658	34445
162	6692	34366
163	6725	34284
164	6763	34224
165	6801	34168
166	6841	34125
167	6875	34047
168	6921	34032
169	6958	33972
170	6992	33897
171	7028	33836
172	7063	33768
173	7100	33706
174	7134	33634
175	7177	33602
176	7214	33545
177	7257	33516
178	7297	33470
179	7340	33440
180	7380	33394
181	7427	33384
182	7467	33340
183	7506	33288
184	7537	33206
185	7565	33109
186	7594	33019
187	7626	32939
188	7656	32856
189	7689	32780
190	7722	32709
191	7753	32630
192	7798	32608
193	7859	32653
194	7895	32593
195	7929	32526
196	7970	32487
197	8004	32420
198	8035	32344
199	8080	32320
200	8112	32248
201	8144	32175
202	8178	32107
203	8208	32027
204	8238	31947
205	8296	31977
206	8327	31900
207	8360	31833
208	8394	31770
209	8424	31691
210	8453	31612
211	8483	31533
212	8513	31456
213	8545	31385
214	8577	31319
215	8609	31247
216	8639	31172
217	8670	31101
218	8702	31034
219	8733	30964
220	8764	30895
221	8796	30827
222	8844	30818
223	8878	30758
224	8911	30696
225	8941	30621
226	8971	30549
227	9004	30489
228	9037	30427
229	9069	30362
230	9100	30294
231	9130	30223
232	9159	30151
233	9189	30080
234	9217	30005
235	9250	29946
236	9297	29931
237	9328	29865
238	9363	29812
239	9395	29751
240	9425	29683
241	9469	29660
242	9513	29635
243	9543	29570
244	9574	29504
245	9605	29440
246	9639	29385
247	9670	29322
248	9691	29231
249	9737	29213
250	9766	29145
251	9799	29087
252	9829	29021
253	9859	28956
254	9872	28843
255	9903	28781
256	9935	28722
257	9967	28666
258	10003	28618
259	10033	28557
260	10067	28504
261	10096	28438
262	10127	28379
263	10162	28331
264	10194	28275
265	10226	28217
266	10253	28150
267	10300	28134
268	10330	28072
269	10363	28020
270	10398	27971
271	10429	27914
272	10458	27850
273	10489	27793
274	10518	27731
275	10550	27674
276	10581	27619
277	10614	27566
278	10655	27535
279	10684	27474
280	10715	27418
281	10746	27360
282	10780	27312
283	10811	27257
284	10845	27209
285	10879	27160
286	10909	27102
287	10938	27043
288	10970	26988
289	11002	26937
290	11037	26891
291	11070	26843
292	11100	26784
293	11131	26731
294	11160	26672
295	11201	26640
296	11230	26583
297	11263	26533
298	11297	26486
299	11330	26436
300	11360	26381
301	11403	26356
302	11431	26297
303	11463	26244
304	11495	26195
305	11526	26142
306	11563	26101
307	11596	26054
308	11626	26000
309	11658	25948
310	11688	25894
311	11722	25850
312	11766	25825
313	11796	25772
314	11842	25752
315	11871	25697
316	11902	25645
317	11936	25600
318	11999	25617
319	12033	25571
320	12062	25516
321	12095	25467
322	12144	25454
323	12178	25408
324	12209	25358
325	12251	25328
326	12281	25276
327	12314	25229
328	12346	25180
329	12381	25137
330	12426	25116
331	12457	25065
332	12499	25036
333	12528	24981
334	12558	24928
335	12627	24954
336	12661	24908
337	12693	24860
338	12726	24814
339	12757	24764
340	12791	24720
341	12827	24679
342	12862	24637
343	12905	24609
344	12944	24575
345	12982	24538
346	13022	24507
347	13059	24467
348	13097	24430
349	13144	24411
350	13181	24371
351	13219	24335
352	13256	24298
353	13293	24258
354	13318	24198
355	13351	24152
356	13391	24119
357	13430	24084
358	13474	24059
359	13512	24022
360	13551	23988
361	13589	23950
362	13631	23921
363	13677	23897
364	13738	23901
365	13780	23871
366	13831	23856
367	13882	23841
368	13929	23820
369	13973	23793
370	14013	23758
371	14057	23732
372	14092	23689
373	14126	23645
374	14156	23594
375	14187	23544
376	14217	23495
377	14248	23445
378	14282	23402
379	14317	23359
380	14363	23335
381	14394	23287
382	14435	23254
383	14463	23201
384	14494	23152
385	14526	23106
386	14557	23058
387	14587	23008
388	14618	22961
389	14654	22920
390	14683	22869
391	14717	22827
392	14751	22783
393	14781	22735
394	14815	22692
395	14845	22642
396	14887	22612
397	14935	22591
398	14968	22547
399	14999	22498
400	15044	22473
401	15075	22426
402	15108	22380
403	15143	22340
404	15176	22296
405	15216	22262
406	15247	22215
407	15279	22170
408	15311	22124
409	15345	22082
410	15379	22039
411	15419	22005
412	15452	21963
413	15483	21916
414	15514	21869
415	15547	21825
416	15583	21787
417	15618	21746
418	15653	21705
419	15685	21660
420	15715	21613
421	15746	21567
422	15777	21521
423	15812	21480
424	15845	21437
425	15877	21393
426	15908	21348
427	15939	21302
428	15969	21255
429	16000	21210
430	16034	21168
431	16081	21143
432	16110	21096
433	16141	21051
434	16173	21006
435	16204	20961
436	16237	20919
437	16272	20879
438	16306	20837
439	16348	20807
440	16384	20768
441	16425	20736
442	16455	20689
443	16489	20649
444	16523	20607
445	16566	20578
446	16598	20535
447	16630	20491
448	16659	20444
449	16691	20400
450	16726	20361
451	16759	20319
452	16789	20273
453	16820	20228
454	16856	20190
455	16891	20151
456	16925	20111
457	16956	20066
458	16990	20025
459	17020	19980
460	17051	19936
461	17081	19891
462	17113	19848
463	17145	19805
464	17178	19764
465	17207	19718
466	17238	19675
467	17268	19630
468	17299	19586
469	17332	19544
470	17365	19504
471	17400	19465
472	17442	19433
473	17473	19390
474	17504	19347
475	17533	19301
476	17563	19257
477	17597	19217
478	17631	19177
479	17663	19135
480	17698	19096
481	17740	19065
482	17773	19024
483	17803	18981
484	17836	18940
485	17868	18898
486	17912	18868
487	17945	18827
488	17975	18783
489	18004	18739
490	18037	18698
491	18067	18655
492	18102	18616
493	18133	18573
494	18164	18531
495	18193	18487
496	18225	18445
497	18258	18405
498	18291	18364
499	18325	18325
500	18358	18285
501	18396	18250
502	18425	18206
503	18455	18162
504	18485	18119
505	18528	18088
506	18561	18048
507	18595	18009
508	18635	17976
509	18668	17936
510	18701	17896
511	18748	17870
512	18779	17827
513	18812	17787
514	18839	17742
